Category,SubCategory
Shopping,shoe_store
Shopping,shopping_mall
Shopping,sporting_goods_store
Shopping,store
Shopping,supermarket
Shopping,warehouse_store
Shopping,wholesaler
Sports,arena
Sports,athletic_field
Sports,fishing_charter
Sports,fishing_pond
Sports,fitness_center
Sports,golf_course
Sports,gym
Sports,ice_skating_rink
Sports,playground
Sports,ski_resort
Sports,sports_activity_location
Sports,sports_club
Sports,sports_coaching
Sports,sports_complex
Sports,stadium
Sports,swimming_pool
Transportation,airport
Transportation,airstrip
Transportation,bus_station
Transportation,bus_stop
Transportation,ferry_terminal
Transportation,heliport
Transportation,international_airport
Transportation,light_rail_station
